,brand,brand_id
413,SHOES 2H,414
414,Giày Phong Cách Lê Sang S,415
415,Sbutan,416
416,Bảo Hân SINCE 2016,417
417,SAND ,418
418,Palladium,419
419,MENUP,420
420,Cole Haan,421
421,Ecco,422
422,Native,423
423,GEOX,424
424,TOMS,425
425,PEACE Shoes of Peace,426
426,DINCOX,427
427,Một,428
428,PUMBOO,429
429,BIOLINE,430
430,MLB,431
431,Shondo,432
432,THE BILY,433
433,Việt Thủy,434
434,TEVA,435
435,TOMOYO,436
436,HuuCuong,437
437,TLG Thành Long,438
438,CHRISTINA-Q,439
439,Sledgers,440
440,Safety Jogger,441
441,Aristino,442
442,AVOCA,443
443,Tenno,444
444,Vinalogi,445
445,buybox,446
446,Crep Protect,447
447,T&Tra Real Level From Real Leather,448
448,DAICAT,449
449,thời trang đẹp & shock,450
450,HAHANCO,451
451,BaoAn,452
452,Vilo,453
453,GoldCare,454
454,Mizuno,455
455,eykosi,456
456,Enito,457
457,YUPPIES,458
458,Kiwi,459
459,BQ,460
460,Aromax,461
461,Magic,462
462,WILLIAM WEIR,463
463,Zelenaya Apteka,464
464,Beauty Formulas,465
465,Tarrago,466
466,Ingol,467
467,The Mix,468
468,Saphir,469
469,Modeco,470
470,Sneaker LAB,471
471,VINETTEAM,472
472,SANADA,473
473,Sothing,474
474,GUPO,475
475,New4all,476
476,Anse<,477
477,PIERRE LOUES,478
478,HATI,479
479,SABLANCA,480
480,Thời Trang Đẹp và Shock,481
481,HOB,482
482,LMCATION,483
483,iBasic,484
484,Golbal,485
485,Quê Một Cục,486
486,ARS,487
487,Trung Nguyên Legend,488
488,Hoang Nam,489
489,nevenka,490
490,MAX DESI,491
491,Varas,492
492,Botusi,493
493,Hàn Quốc,494
494,KAKAO FRIENDS,495
495,ROSAVAN,496
496,Marhen J,497
497,Speedo,498
498,SenSilk,499
499,Fantech,500
500,Wacoal,501
501,TAILIAN,502
502,LEO VATINO,503
503,S Select,504
504,Nutushop,505
505,Louis Fontaine,506
506,MICOCAH,507
507,Exull,508
508,Hạnh Dương,509
509,NHÀ MỊ,510
510,OLV ,511
511,Shangxing,512
512,Ginko,513
513,Lazy Box,514
514,Hibi Sports,515
515,Vascara,516
516,saigonswagger,517
517,DIRTY COINS,518
518,G.E.M,519
519,MI midori,520
520,Nhà Xuất Bản Trẻ,521
521,CQA BOUTIQUE,522
522,PHANBOOK,523
523,HEYDAY THE TASTE OF VIETNAM CACAO,524
524,Cộng Cà phê,525
525,SIMPLE,526
526,Evian,527
527,MORRA,528
528,ENZYCO,529
529,Nor,530
530,Tanmy Design,531
531,Tupperware,532
532,PARADOX WORLDWIDE,533
533,Moshi Moshi ,534
534,MCM,535
535,Camelia,536
536,Weilaiya,537
537,Juno,538
538,Brother,539
539,BEMIAO,540
540,ongtre,541
541,Puma,542
542,Danbaoly,543
543,Hier,544
544,bamarau,545
545,Fits All,546
546,Vacimall,547
547,YORN,548
548,PERFECT FOR YOU,549
549,HANHSON,550
550,CLEVER HIPPO,551
551,The real partner,552
552,BEYOU,553
553,GIRLIE,554
554,Monobo,555
555,Erosska,556
556,TiMa.lala,557
557,GPSHOP,558
558,Bloom Yuki,559
559,Pixie,560
560,DEVIA,561
561,Ruian Pinxuan,562
562,EMHOME,563
563,Nhà của Mẹ,564
564,LocknLock,565
565,Hương Quế Trà Bồng,566
566,Bitis,567
567,Tikme,568
568,Cillie,569
569,Rosata,570
570,Aetrex,571
571,Nerdy,572
572,ENAKO,573
573,Mozy,574
574,Gumac,575
575,Muso,576
576,Fasmono,577
577,Nghé Art,578
578,P Pinkaha,579
579,Melinda,580
580,Lithe.S,581
581,Fujiwa,582
582,Bejo,583
583,BILANO,584
584,LITHES,585
585,BIGBEN,586
586,EXULL MODE,587
587,DECEMBERY,588
588,XTI,589
589,depla,590
590,Cross,591
591,IKEN,592
592,Misho,593
593,Holster,594
594,blackOut,595
595,ONEZ,596
596,AGE,597
597,GOODFIT,598
598,Mirato,599
599,Minsu,600
600,Milliken Tampe,601
601,AHT CORP,602
602,Kangaroo,603
603,Unitech,604
604,LKB,605
605,ASA,606
606,Sneaker Balls,607
607,Essenbee,608
608,Forcefield,609
609,CAROLINE,610
610,Nano Xclean,611
611,Detergent Revolution,612
612,Sofsole,613
613,Ligpro,614
